"Input","Reference","Output","Prefix match","Oracle match"
"Did M2 ' s founder and employee produce , executive produce , and direct M0 and M1","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M2 }","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M2 }","False","False"
"Did M0 ' s producer , cinematographer , star , executive producer , art director , and writer direct M2 and executive produce M1","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M2 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M1 . ?x0 film.film_art_director.films_art_directed M2 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 }","False","False"
"Did M0 ' s spouse and sibling produce M1","SELECT count ( * ) WHERE { ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M0 . FILTER ( ?x0 != M0 ) . FILTER ( ?x0 != M0 ) }","SELECT count ( * ) WHERE { ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M0 . FILTER ( ?x0 != M0 ) . FILTER ( ?x0 != M1 ) }","False","False"
"Did M0 ' s cinematographer , writer , star , director , and producer found M1 , M2 , and M3","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 film.writer.film M0 . M1 organization.organization_founder.organizations_founded M2 }","False","False"
"Did M0 produce , edit , direct , and executive produce M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.director.film M2 . M0 film.director.film M3 . M0 film.director.film M4 . M0 film.editor.film M1 . M0 film.editor.film M2 . M0 film.editor.film M3 . M0 film.editor.film M4 . M0 film.producer.films_executive_produced M1 . M0 film.producer.films_executive_produced M2 . M0 film.producer.films_executive_produced M3 . M0 film.producer.films_executive_produced M4 . M0 film.producer.film|ns:film.production_company.films M1 . M0 film.producer.film|ns:film.production_company.films M2 . M0 film.producer.film|ns:film.production_company.films M3 . M0 film.producer.film|ns:film.production_company.films M4 }","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.director.film M2 . M0 film.editor.film M3 . M0 film.producer.films_executive_produced M4 . M0 film.producer.film|ns:film.production_company.films M1 }","False","False"
"Did M0 ' s Spanish sibling edit , direct , and write M1 , M2 , and M3","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.director.film M3 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.editor.film M3 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 . ?x0 people.person.nationality m_06mkj . ?x0 people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings M0 . FILTER ( ?x0 != M0 ) }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.editor.film M2 . ?x0 film.writer.film M3 . ?x0 people.person.nationality m_06mkj . ?x0 people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings M0 . FILTER ( ?x0 != M0 ) }","False","False"
"Did M1 marry a film editor , influence M2 and M3 , and influence M4 , M5 , and M6","SELECT count ( * ) WHERE { ?x0 a film.editor . FILTER ( M1 != ?x0 ) . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 influence.influence_node.influenced M6 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 }","SELECT count ( * ) WHERE { ?x0 a film.editor . FILTER ( M1 != ?x0 ) . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x1 }","False","False"
"Did M0 influence M1 , M2 , and M3 , influence M4 , and influence M5 , M6 , and M7","SELECT count ( * ) WHERE { M0 influence.influence_node.influenced M1 . M0 influence.influence_node.influenced M2 . M0 influence.influence_node.influenced M3 . M0 influence.influence_node.influenced M4 . M0 influence.influence_node.influenced M5 . M0 influence.influence_node.influenced M6 . M0 influence.influence_node.influenced M7 }","SELECT count ( * ) WHERE { M0 influence.influence_node.influenced M1 . M0 influence.influence_node.influenced M2 . M0 influence.influence_node.influenced M3 . M0 influence.influence_node.influenced M4 . M0 influence.influence_node.influenced M5 . M0 influence.influence_node.influenced M2 . M6 influence.influence_node.influenced M1 . M6 influence.influence_node.influenced M2 . M7 influence.influence_node.influenced M3 . M7 influence.influence_node.influenced M4 . M7 influence.influence_node.influenced M5 }","False","False"
"Did M6 ' s founder and employee influence M0 and M1 and influence M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 . ?x0 influence.influence_node.influenced M5 . ?x0 organization.organization_founder.organizations_founded M6 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M6 }","SELECT count ( * ) WHERE { ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 . ?x0 influence.influence_node.influenced M5 . ?x0 organization.organization_founder.organizations_founded M6 influence.influence_node.influenced M0 . M6 influence.influence_node.influenced M4 . M6 influence.influence_node.influenced M5 }","False","False"
"Did M6 ' s founder and employee influence M0 , influence M1 , M2 , M3 , and M4 , and influence M5","SELECT count ( * ) WHERE { ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 . ?x0 influence.influence_node.influenced M5 . ?x0 organization.organization_founder.organizations_founded M6 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M6 }","SELECT count ( * ) WHERE { ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 influence.influence_node.influenced M4 . ?x0 influence.influence_node.influenced M5 . ?x0 organization.organization_founder.organizations_founded M5 . M6 influence.influence_node.influenced M0 . M6 influence.influence_node.influenced M1 . M6 influence.influence_node.influenced M2 . M6 influence.influence_node.influenced M3 . M6 influence.influence_node.influenced M4 }","False","False"
"Did M0 ' s cinematographer , writer , editor , star , and executive producer write , executive produce , and produce M1","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M1 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 . ?x1 a film.cinematographer }","False","False"
"Did M5 ' s director and editor found M0 and M1 and found M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.director.film M5 . ?x0 film.editor.film M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.director.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . M5 film.director.film M5 . M5 film.editor.film ?x0 }","False","False"
"Did M5 ' s director and editor found M0 , M1 , M2 , and M3 and found M4","SELECT count ( * ) WHERE { ?x0 film.director.film M5 . ?x0 film.editor.film M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.director.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . M5 }","False","False"
"Did M0 ' s writer , director , and editor found M1 , M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.writer.film M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","False","False"
"Did M3 ' s editor executive produce , edit , produce , and direct M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.editor.film M3 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.editor.film M3 }","False","False"
"Did M0 ' s writer and editor write and executive produce M1 , M2 , and M3","SELECT count ( * ) WHERE { ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 }","SELECT count ( * ) WHERE { ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.writer.film M0 }","False","False"
"Did M3 ' s writer write , edit , direct , and executive produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.writer.film M2 . ?x0 film.writer.film M3 }","False","False"
"Did M0 ' s producer and distributor acquire a production company","SELECT count ( * ) WHERE { ?x0 film.film_distributor.films_distributed/ns:film.film_film_distributor_relationship.film M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 organization.organization.companies_acquired/ns:business.acquisition.company_acquired ?x1 . ?x1 a film.production_company }","SELECT count ( * ) WHERE { ?x0 film.film_distributor.films_distributed/ns:film.film_film_distributor_relationship.film ?x1 . ?x0 film.producer.film|ns:film.production_company.films ?x1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x1 a film.production_company }","False","False"
"Did M3 ' s employee and founder write , direct , and produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M3 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M3 }","False","False"
"Did M0 edit , write , direct , and executive produce M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.director.film M2 . M0 film.director.film M3 . M0 film.director.film M4 . M0 film.editor.film M1 . M0 film.editor.film M2 . M0 film.editor.film M3 . M0 film.editor.film M4 . M0 film.producer.films_executive_produced M1 . M0 film.producer.films_executive_produced M2 . M0 film.producer.films_executive_produced M3 . M0 film.producer.films_executive_produced M4 . M0 film.writer.film M1 . M0 film.writer.film M2 . M0 film.writer.film M3 . M0 film.writer.film M4 }","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.editor.film M2 . M0 film.director.film M3 . M0 film.director.film M4 . M0 film.editor.film M1 . M0 film.writer.film M2 }","False","False"
"Did M0 edit , executive produce , direct , and write M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.director.film M2 . M0 film.director.film M3 . M0 film.director.film M4 . M0 film.editor.film M1 . M0 film.editor.film M2 . M0 film.editor.film M3 . M0 film.editor.film M4 . M0 film.producer.films_executive_produced M1 . M0 film.producer.films_executive_produced M2 . M0 film.producer.films_executive_produced M3 . M0 film.producer.films_executive_produced M4 . M0 film.writer.film M1 . M0 film.writer.film M2 . M0 film.writer.film M3 . M0 film.writer.film M4 }","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.editor.film M2 . M0 film.producer.films_executive_produced M3 . M0 film.director.film M4 . M0 film.writer.film M1 }","False","False"
"Did M0 ' s art director , cinematographer , star , writer , and costume designer write and produce M1","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.film_costumer_designer.costume_design_for_film M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M1 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.film_costumer_designer.costume_design_for_film M0 . ?x0 film.writer.film M1 . ?x1 film.actor.film/ns:film.performance.film M0 . ?x1 film.film_costumer_designer.costume_design_for_film M0 . ?x1 film.writer.film M0 }","False","False"
"Did M1 ' s cinematographer , editor , star , costume designer , director , and writer edit , produce , and write M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.writer.film M0 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.director.film M1 . ?x1 film.editor.film M1 . ?x1 film.film_costumer_designer.costume_design_for_film M1 . ?x1 film.writer.film M1 }","False","False"
"Did M1 ' s costume designer , star , cinematographer , writer , and director write , edit , and direct M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.writer.film M0 . ?x1 film.director.film M1 . ?x1 film.writer.film M1 }","False","False"
"Did M1 ' s director , writer , art director , cinematographer , star , costume designer , and editor write and edit M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.film_art_director.films_art_directed M1 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.writer.film M0 }","False","False"
"Did M1 ' s star , cinematographer , writer , director , editor , and art director edit , produce , and direct M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.film_art_director.films_art_directed M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 }","False","False"
"Did M1 ' s director , writer , executive producer , editor , and star direct , executive produce , and edit M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.writer.film M0 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.director.film M1 . ?x1 film.editor.film M1 . ?x1 film.producer.films_executive_produced M1 }","False","False"
"Did M1 ' s editor , writer , director , star , and executive producer produce , edit , and executive produce M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M1 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.director.film M1 . ?x1 film.editor.film M1 . ?x1 film.producer.films_executive_produced M1 }","False","False"
"Did M1 ' s executive producer , producer , editor , and star produce , edit , executive produce , and write M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.editor.film M1 . ?x1 film.producer.films_executive_produced M1 . ?x1 film.producer.film|ns:film.production_company.films M1 }","False","False"
"Did M0 ' s editor , producer , art director , cinematographer , star , writer , and costume designer write M1","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.film_art_director.films_art_directed M0 . ?x0 film.film_costumer_designer.costume_design_for_film M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.film_art_director.films_art_directed M1 . ?x0 film.film_costumer_designer.costume_design_for_film M1 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M1 }","False","False"
"Did M1 influence a film producer , influence M2 , M3 , and M4 , and influence M5 , M6 , and M7","SELECT count ( * ) WHERE { ?x0 a film.producer . M1 influence.influence_node.influenced ?x0 . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 influence.influence_node.influenced M6 . M1 influence.influence_node.influenced M7 }","SELECT count ( * ) WHERE { ?x0 a film.producer . M1 influence.influence_node.influenced ?x0 . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 influence.influence_node.influenced M6 . M6 influence.influence_node.influenced ?x0 . M6 influence.influence_node.influenced M2 . M6 influence.influence_node.influenced M3 . M6 influence.influence_node.influenced M4 . M6 influence.influence_node.influenced M5 . M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 influence.influence_node.influenced M6 }","False","False"
"Did M3 ' s founder and employee influence M0 , M1 , and M2 and marry a film producer","SELECT count ( * ) WHERE { ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 people.person.employment_history/ns:business.employment_tenure.company M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x1 . ?x1 a film.producer . FILTER ( ?x0 != ?x1 ) }","SELECT count ( * ) WHERE { ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 people.person.employment_history/ns:business.employment_tenure.company ?x1 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x1 . ?x1 a film.producer . FILTER ( ?x0 != ?x2 ) }","False","False"
